"genusspecies","sprecords","num_eras","num_grids","distinct_site.x.interval","Genus","Subfamily","LarvalGuild","RangeSize","BodySize","rothole","introduced","RecentTrend","HistoricTrend","RecentEstimate","HistoricEstimate"
"Blera badia",186,4,61,97,"Blera","Eristalinae","Saprophagous",322,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.026 [-0.17, 0.25]","0.126 [-0.098, 0.405]"
"Blera confusa",198,4,56,83,"Blera","Eristalinae","Saprophagous",957,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.02 [-0.346, 0.31]","0.226 [-0.212, 0.767]"
"Blera nigra",174,4,56,81,"Blera","Eristalinae","Saprophagous",1377,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.015 [-0.361, 0.314]","0.318 [-0.216, 0.931]"
"Blera pictipes",96,4,21,30,"Blera","Eristalinae","Saprophagous",219,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.368 [-0.834, 0.123]","-0.243 [-0.785, 0.322]"
"Blera scitula",264,4,55,104,"Blera","Eristalinae","Saprophagous",201,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.014 [-0.258, 0.279]","0.115 [-0.18, 0.411]"
"Brachyopa flavescens",67,4,19,29,"Brachyopa","Eristalinae","Saprophagous",150,NA,"Other",NA,"WeakSupport","WeakSupport","-0.152 [-0.636, 0.238]","-0.004 [-0.555, 0.491]"
"Brachyopa notata",205,4,58,82,"Brachyopa","Eristalinae","Saprophagous",1478,NA,"Other",NA,"WeakSupport","WeakSupport","0.084 [-0.35, 0.61]","0.18 [-0.282, 0.672]"
"Brachyopa perplexa",95,4,16,24,"Brachyopa","Eristalinae","Saprophagous",133,NA,"Other",NA,"WeakSupport","WeakSupport","0.043 [-0.576, 0.724]","0.172 [-0.488, 0.86]"
"Brachypalpus amithaon",71,4,20,44,"Brachypalpus","Eristalinae","Saprophagous",66,NA,"Other",NA,"WeakSupport","WeakSupport","-0.235 [-0.746, 0.312]","-0.141 [-0.667, 0.448]"
"Brachypalpus cyanella",62,4,16,34,"Brachypalpus","Eristalinae","Saprophagous",48,NA,"Other",NA,"WeakSupport","WeakSupport","0.004 [-0.524, 0.544]","0.246 [-0.421, 0.96]"
"Brachypalpus femoratus",135,4,47,81,"Brachypalpus","Eristalinae","Saprophagous",810,13.6,"Other","no","WeakSupport","Decline","-0.415 [-0.805, 0.06]","-0.54 [-0.825, -0.219]"
"Brachypalpus oarus (margaritus)",281,4,53,101,"Brachypalpus","Eristalinae","Saprophagous",349,NA,"Other",NA,"WeakSupport","WeakSupport","-0.011 [-0.287, 0.266]","0.163 [-0.171, 0.551]"
"Ceriana abbreviata",80,4,49,63,"Ceriana","Eristalinae","Saprophagous",964,NA,"Other",NA,"WeakSupport","WeakSupport","0.063 [-0.426, 0.597]","0.038 [-0.354, 0.383]"
"Chalcosyrphus (Xylota) libo",152,4,55,72,"Chalcosyrphus","Eristalinae","Saprophagous",743,9.5,"Other","no","WeakSupport","Increase","0.383 [-0.114, 1.028]","1.028 [0.063, 2.216]"
"Chalcosyrphus (Xylota) nemorum",477,4,88,155,"Chalcosyrphus","Eristalinae","Saprophagous",1396,NA,"Other",NA,"WeakSupport","WeakSupport","0.172 [-0.255, 0.65]","0.41 [-0.107, 0.997]"
"Chalcosyrphus (Xylota) piger (pigra)",151,4,72,92,"Chalcosyrphus","Eristalinae","Saprophagous",1399,NA,"Other",NA,"WeakSupport","WeakSupport","0.046 [-0.414, 0.551]","0.075 [-0.36, 0.494]"
"Chalcosyrphus (Xylota) vecors",163,4,71,103,"Chalcosyrphus","Eristalinae","Saprophagous",1494,NA,"Other",NA,"WeakSupport","WeakSupport","-0.087 [-0.413, 0.204]","0.12 [-0.285, 0.565]"
"Chalcosyrphus anthreas",53,4,26,32,"Chalcosyrphus","Eristalinae","Saprophagous",254,NA,"Other",NA,"WeakSupport","WeakSupport","0.051 [-0.391, 0.541]","0.295 [-0.244, 1.021]"
"Chalcosyrphus chalybeus",117,4,44,77,"Chalcosyrphus","Eristalinae","Saprophagous",209,NA,"Other",NA,"WeakSupport","WeakSupport","0.03 [-0.24, 0.307]","0.179 [-0.127, 0.558]"
"Chalcosyrphus curvaria",190,4,63,108,"Chalcosyrphus","Eristalinae","Saprophagous",1165,NA,"Other",NA,"WeakSupport","WeakSupport","-0.216 [-0.575, 0.17]","-0.067 [-0.471, 0.393]"
"Chalcosyrphus inarmatus",94,4,25,34,"Chalcosyrphus","Eristalinae","Saprophagous",493,NA,"Other",NA,"WeakSupport","WeakSupport","0.059 [-0.518, 0.684]","0.252 [-0.377, 0.96]"
"Chalcosyrphus metallicus",64,4,17,23,"Chalcosyrphus","Eristalinae","Saprophagous",211,NA,"Other",NA,"WeakSupport","WeakSupport","-0.354 [-0.861, 0.17]","-0.21 [-0.835, 0.42]"
"Chalcosyrphus plesia",111,4,17,32,"Chalcosyrphus","Eristalinae","Saprophagous",129,NA,"Other",NA,"WeakSupport","WeakSupport","0.701 [-0.412, 2.293]","0.566 [-0.282, 1.623]"
"Cheilosia hunteri (nigrofasciata)",138,4,22,26,"Cheilosia","Eristalinae","Phytophagous",1121,NA,"Other",NA,"WeakSupport","WeakSupport","-0.322 [-0.846, 0.298]","-0.32 [-0.808, 0.249]"
"Cheilosia lasiophthalmus (browni,nigroapicata)",62,4,27,29,"Cheilosia","Eristalinae","Phytophagous",1376,NA,"Other",NA,"WeakSupport","WeakSupport","-0.088 [-0.856, 0.985]","-0.471 [-0.878, 0.056]"
"Cheilosia latrans (tristis)",410,4,61,73,"Cheilosia","Eristalinae","Phytophagous",1262,NA,"Other",NA,"WeakSupport","WeakSupport","0.161 [-0.232, 0.626]","0.447 [-0.072, 1.123]"
"Cheilosia orilliaensis (consentiens)",124,4,33,47,"Cheilosia","Eristalinae","Phytophagous",538,8.8,"Other","no","Decline","Decline","-0.536 [-0.825, -0.196]","-0.492 [-0.81, -0.141]"
"Cheilosia pallipes",78,4,21,22,"Cheilosia","Eristalinae","Phytophagous",497,NA,"Other",NA,"WeakSupport","WeakSupport","-0.308 [-0.785, 0.183]","-0.082 [-0.699, 0.587]"
"Cheilosia prima",194,4,25,56,"Cheilosia","Eristalinae","Phytophagous",290,9.1,"Other","no","Decline","WeakSupport","-0.539 [-0.82, -0.213]","-0.383 [-0.753, 0.059]"
"Cheilosia rita (alpinensis)",236,4,62,82,"Cheilosia","Eristalinae","Phytophagous",1429,NA,"Other",NA,"WeakSupport","WeakSupport","0.02 [-0.259, 0.27]","0.226 [-0.106, 0.673]"
"Cheilosia yukonensis (varipila,variseta)",92,4,19,23,"Cheilosia","Eristalinae","Phytophagous",1001,NA,"Other",NA,"WeakSupport","WeakSupport","-0.035 [-0.71, 0.587]","0.092 [-0.64, 0.731]"
"Chrysogaster antitheus (ontario)",265,4,44,60,"Chrysogaster","Eristalinae","Saprophagous",371,6,"Other","no","Decline","WeakSupport","-0.448 [-0.735, -0.12]","-0.205 [-0.617, 0.276]"
"Chrysosyrphus latus (versipellis)",177,4,30,44,"Chrysosyrphus","Eristalinae","Saprophagous",924,NA,"Other",NA,"WeakSupport","WeakSupport","-0.312 [-0.699, 0.115]","0.026 [-0.571, 0.718]"
"Chrysotoxum chinook",232,4,44,81,"Chrysotoxum","Syrphinae","Predator",316,NA,"Other",NA,"Decline","Decline","-0.643 [-0.929, -0.282]","-0.637 [-0.93, -0.29]"
"Chrysotoxum coloradense (fasciatum)",202,4,61,93,"Chrysotoxum","Syrphinae","Predator",761,NA,"Other",NA,"Decline","Decline","-0.723 [-0.927, -0.476]","-0.672 [-0.917, -0.384]"
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)",953,4,118,219,"Chrysotoxum","Syrphinae","Predator",1382,9.1,"Other","no","Decline","Decline","-0.466 [-0.688, -0.205]","-0.58 [-0.759, -0.39]"
"Chrysotoxum flavifrons",540,4,146,197,"Chrysotoxum","Syrphinae","Predator",1568,13.85,"Other","no","Decline","Decline","-0.459 [-0.64, -0.272]","-0.291 [-0.551, -0.018]"
"Chrysotoxum plumeum (perplexum)",424,4,121,175,"Chrysotoxum","Syrphinae","Predator",1470,NA,"Other","no","WeakSupport","WeakSupport","-0.255 [-0.488, 0.013]","-0.118 [-0.413, 0.172]"
"Chrysotoxum pubescens (luteopilosum)",226,4,50,82,"Chrysotoxum","Syrphinae","Predator",433,12.65,"Other","no","Decline","WeakSupport","-0.481 [-0.78, -0.153]","-0.341 [-0.714, 0.074]"
"Chrysotoxum ypsilon",58,4,14,19,"Chrysotoxum","Syrphinae","Predator",104,NA,"Other",NA,"WeakSupport","WeakSupport","0.009 [-0.424, 0.436]","0.199 [-0.344, 0.782]"
"Copestylum (Volucella) satur",112,4,31,49,"Copestylum","Eristalinae","Saprophagous",373,NA,"Other",NA,"WeakSupport","WeakSupport","-0.102 [-0.647, 0.4]","-0.016 [-0.583, 0.49]"
"Copestylum (Volucella) vittatum (americana)",146,4,53,74,"Copestylum","Eristalinae","Saprophagous",745,NA,"Other",NA,"WeakSupport","WeakSupport","0.815 [-0.214, 2.038]","0.293 [-0.33, 0.976]"
"Copestylum anna",164,4,11,19,"Copestylum","Eristalinae","Saprophagous",49,NA,"Other",NA,"WeakSupport","WeakSupport","-0.156 [-0.707, 0.321]","-0.02 [-0.628, 0.581]"
"Copestylum avidum",179,4,32,59,"Copestylum","Eristalinae","Saprophagous",159,NA,"Other",NA,"WeakSupport","WeakSupport","0.091 [-0.191, 0.406]","0.186 [-0.117, 0.539]"
"Copestylum haagii",149,4,15,32,"Copestylum","Eristalinae","Saprophagous",95,NA,"Other",NA,"WeakSupport","WeakSupport","-0.074 [-0.573, 0.318]","0.009 [-0.5, 0.418]"
"Copestylum marginatum",184,4,30,61,"Copestylum","Eristalinae","Saprophagous",262,NA,"Other",NA,"WeakSupport","WeakSupport","0.024 [-0.232, 0.289]","0.166 [-0.148, 0.536]"
"Copestylum mexicanum",226,4,42,86,"Copestylum","Eristalinae","Saprophagous",518,NA,"Other",NA,"WeakSupport","WeakSupport","-0.233 [-0.659, 0.212]","-0.109 [-0.59, 0.394]"
"Copestylum tamaulipanum",71,4,14,32,"Copestylum","Eristalinae","Saprophagous",57,NA,"Other",NA,"WeakSupport","WeakSupport","-0.133 [-0.553, 0.174]","-0.016 [-0.498, 0.373]"
"Copestylum vesicularium",95,4,35,47,"Copestylum","Eristalinae","Saprophagous",258,NA,"Other","no","WeakSupport","WeakSupport","0.521 [-0.206, 1.462]","1.121 [-0.003, 2.482]"
"Copestylum violaceum",302,4,21,42,"Copestylum","Eristalinae","Saprophagous",134,NA,"Other",NA,"WeakSupport","WeakSupport","-0.222 [-0.674, 0.155]","-0.106 [-0.632, 0.34]"
"Criorhina bubulcus (luna)",289,4,32,88,"Criorhina","Eristalinae","Saprophagous",133,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.197 [-0.418, 0.851]","0.173 [-0.366, 0.704]"
"Criorhina caudata",293,4,38,80,"Criorhina","Eristalinae","Saprophagous",128,15,"Rothole Specialist","no","Decline","WeakSupport","-0.441 [-0.805, -0.045]","-0.244 [-0.72, 0.276]"
"Criorhina kincaidi",184,4,18,39,"Criorhina","Eristalinae","Saprophagous",46,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.291 [-0.849, 0.381]","-0.179 [-0.837, 0.517]"
"Criorhina nigripes",218,4,27,53,"Criorhina","Eristalinae","Saprophagous",128,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.235 [-0.735, 0.311]","-0.133 [-0.681, 0.457]"
"Criorhina nigriventris (maritima,mystaceae)",204,4,66,92,"Criorhina","Eristalinae","Saprophagous",957,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.058 [-0.387, 0.278]","0.162 [-0.258, 0.627]"
"Criorhina tricolor",217,4,29,66,"Criorhina","Eristalinae","Saprophagous",333,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.145 [-0.653, 0.443]","-0.019 [-0.567, 0.581]"
"Criorhina verbosa",181,4,42,81,"Criorhina","Eristalinae","Saprophagous",258,15.5,"Rothole Specialist","no","Decline","WeakSupport","-0.402 [-0.696, -0.073]","-0.312 [-0.646, 0.061]"
"Dasysyrphus (Syrphus) venustus (arcuatus)",416,4,130,180,"Dasysyrphus","Syrphinae","Predator",1716,NA,"Other",NA,"WeakSupport","WeakSupport","-0.172 [-0.429, 0.063]","-0.079 [-0.36, 0.191]"
"Dasysyrphus amalopis",63,4,17,18,"Dasysyrphus","Syrphinae","Predator",962,NA,"Other",NA,"WeakSupport","WeakSupport","0.354 [-0.604, 1.674]","0.342 [-0.458, 1.245]"
"Dasysyrphus creper",209,4,61,105,"Dasysyrphus","Syrphinae","Predator",303,8.6,"Other","no","Decline","Decline","-0.46 [-0.752, -0.143]","-0.4 [-0.709, -0.046]"
"Dasysyrphus intrudens",2158,4,275,572,"Dasysyrphus","Syrphinae","Predator",1849,9.35,"Other","no","Decline","Decline","-0.555 [-0.663, -0.447]","-0.466 [-0.598, -0.321]"
"Dasysyrphus laticaudus",174,4,40,57,"Dasysyrphus","Syrphinae","Predator",1070,NA,"Other",NA,"WeakSupport","WeakSupport","-0.364 [-0.727, 0.058]","-0.215 [-0.663, 0.27]"
"Dasysyrphus limatus",155,4,52,72,"Dasysyrphus","Syrphinae","Predator",1345,9.2,"Other","no","Decline","WeakSupport","-0.504 [-0.775, -0.197]","-0.228 [-0.658, 0.28]"
"Dasysyrphus occidualis",88,4,34,40,"Dasysyrphus","Syrphinae","Predator",435,NA,"Other",NA,"WeakSupport","WeakSupport","-0.082 [-0.612, 0.418]","0.152 [-0.526, 0.828]"
"Dasysyrphus pacificus",122,4,28,42,"Dasysyrphus","Syrphinae","Predator",299,NA,"Other",NA,"WeakSupport","WeakSupport","0.457 [-0.242, 1.422]","0.588 [-0.125, 1.525]"
"Dasysyrphus pauxillus",210,4,56,91,"Dasysyrphus","Syrphinae","Predator",1080,7.5,"Other","no","Decline","WeakSupport","-0.394 [-0.688, -0.048]","-0.115 [-0.576, 0.42]"
"Didea alneti",55,4,35,39,"Didea","Syrphinae","Predator",1172,NA,"Other",NA,"WeakSupport","WeakSupport","-0.358 [-0.759, 0.071]","-0.168 [-0.699, 0.39]"
"Didea fuscipes",218,4,86,131,"Didea","Syrphinae","Predator",1130,NA,"Other",NA,"WeakSupport","WeakSupport","-0.243 [-0.495, 0.026]","0.168 [-0.292, 0.678]"
"Dioprosopa (Pseudodoros) clavatus",2075,4,46,81,"Dioprosopa","Syrphinae","Predator",527,NA,"Other",NA,"WeakSupport","WeakSupport","0.149 [-0.185, 0.559]","0.49 [-0.031, 1.181]"
"Doros aequalis",159,4,48,65,"Doros","Syrphinae","Predator",1065,NA,"Other",NA,"WeakSupport","WeakSupport","-0.106 [-0.491, 0.286]","0.354 [-0.283, 1.123]"
"Epistrophe grossulariae",694,4,140,243,"Epistrophe","Syrphinae","Predator",1299,12.7,"Other","no","Increase","Increase","0.4 [0.017, 0.815]","0.466 [0.12, 0.861]"
"Epistrophe nitidicollis",189,4,61,91,"Epistrophe","Syrphinae","Predator",1257,NA,"Other",NA,"WeakSupport","WeakSupport","-0.074 [-0.46, 0.31]","0.033 [-0.403, 0.429]"
"Epistrophe terminalis",89,4,28,36,"Epistrophe","Syrphinae","Predator",1034,NA,"Other",NA,"WeakSupport","WeakSupport","-0.029 [-0.54, 0.456]","0.245 [-0.399, 0.977]"
"Epistrophe xanthostoma",143,4,58,83,"Epistrophe","Syrphinae","Predator",964,NA,"Other",NA,"WeakSupport","WeakSupport","-0.167 [-0.507, 0.113]","-0.074 [-0.43, 0.25]"
"Epistrophella (Epistrophe) emarginata",455,4,109,182,"Epistrophella","Syrphinae","Predator",1408,NA,"Other",NA,"WeakSupport","WeakSupport","0.362 [-0.06, 0.901]","0.291 [-0.021, 0.633]"
"Eristalinus aeneus",206,4,62,86,"Eristalinus","Eristalinae","Saprophagous",882,10.05,"Other","yes","Increase","Increase","0.924 [0.012, 2.022]","1.29 [0.185, 2.623]"
"Eristalis anthophorina (bastardii)",1655,4,238,468,"Eristalis","Eristalinae","Saprophagous",1701,NA,"Other",NA,"WeakSupport","WeakSupport","0.096 [-0.11, 0.327]","0.058 [-0.098, 0.219]"
"Eristalis arbustorum",2794,4,248,604,"Eristalis","Eristalinae","Saprophagous",1776,10.15,"Other","yes","Decline","Decline","-0.308 [-0.454, -0.157]","-0.205 [-0.384, -0.026]"
"Eristalis brousii",616,4,106,168,"Eristalis","Eristalinae","Saprophagous",1232,11,"Other","no","Decline","Decline","-0.441 [-0.75, -0.096]","-0.746 [-0.868, -0.609]"
"Eristalis cryptarum (compactus)",226,4,74,101,"Eristalis","Eristalinae","Saprophagous",1288,NA,"Other",NA,"WeakSupport","WeakSupport","-0.017 [-0.295, 0.232]","0.168 [-0.194, 0.549]"
"Eristalis dimidiata",1336,4,183,323,"Eristalis","Eristalinae","Saprophagous",1520,NA,"Other",NA,"WeakSupport","WeakSupport","0.073 [-0.206, 0.365]","0.167 [-0.134, 0.485]"
"Eristalis flavipes",1142,4,251,391,"Eristalis","Eristalinae","Saprophagous",1708,13.55,"Other","no","Increase","Increase","0.427 [0.139, 0.738]","0.713 [0.295, 1.173]"
"Eristalis fraterculus",238,4,33,39,"Eristalis","Eristalinae","Saprophagous",799,24.4,"Other","no","Decline","Decline","-0.545 [-0.928, -0.023]","-0.545 [-0.929, -0.041]"
"Eristalis hirta",794,4,129,233,"Eristalis","Eristalinae","Saprophagous",1560,11.2,"Other","no","Decline","Decline","-0.415 [-0.615, -0.203]","-0.303 [-0.555, -0.04]"
"Eristalis nemorum (interrupta)",579,4,126,193,"Eristalis","Eristalinae","Saprophagous",1288,NA,"Other",NA,"WeakSupport","WeakSupport","0.01 [-0.337, 0.383]","-0.077 [-0.332, 0.168]"
"Eristalis obscura",998,4,155,228,"Eristalis","Eristalinae","Saprophagous",1607,NA,"Other",NA,"WeakSupport","WeakSupport","-0.047 [-0.241, 0.137]","0.134 [-0.141, 0.456]"
"Eristalis rupium",155,4,38,50,"Eristalis","Eristalinae","Saprophagous",1014,NA,"Other",NA,"WeakSupport","WeakSupport","-0.221 [-0.626, 0.21]","0.379 [-0.402, 1.326]"
"Eristalis stipator",530,4,146,217,"Eristalis","Eristalinae","Saprophagous",1120,NA,"Other",NA,"WeakSupport","WeakSupport","0.142 [-0.197, 0.532]","0.236 [-0.121, 0.649]"
"Eristalis tenax",3434,4,289,640,"Eristalis","Eristalinae","Saprophagous",2109,13.75,"Other","yes","Increase","Increase","0.609 [0.308, 0.916]","0.927 [0.498, 1.39]"
"Eristalis transversa",1354,4,122,278,"Eristalis","Eristalinae","Saprophagous",562,11.15,"Other","no","Increase","Increase","0.306 [0.018, 0.631]","0.564 [0.171, 0.993]"
"Eumerus funeralis",248,4,40,63,"Eumerus","Eristalinae","Saprophagous",1096,NA,"Other","yes","WeakSupport","WeakSupport","-0.135 [-0.71, 0.567]","-0.342 [-0.718, 0.083]"
"Eumerus strigatus",561,4,53,73,"Eumerus","Eristalinae","Saprophagous",983,NA,"Other","yes","WeakSupport","WeakSupport","-0.262 [-0.742, 0.298]","-0.391 [-0.759, 0.006]"
"Eupeodes americanus",1002,4,159,289,"Eupeodes","Syrphinae","Predator",1648,9,"Other","no","Increase","Increase","0.812 [0.328, 1.345]","1.037 [0.433, 1.71]"
"Eupeodes curtus",467,4,66,75,"Eupeodes","Syrphinae","Predator",1450,NA,"Other",NA,"WeakSupport","WeakSupport","-0.104 [-0.447, 0.231]","0.314 [-0.285, 1.027]"
"Eupeodes flukei",57,4,30,35,"Eupeodes","Syrphinae","Predator",761,NA,"Other",NA,"WeakSupport","WeakSupport","-0.024 [-0.437, 0.342]","0.119 [-0.333, 0.597]"
"Eupeodes fumipennis",1146,4,57,128,"Eupeodes","Syrphinae","Predator",329,10,"Other","no","Increase","Increase","1.052 [0.095, 2.205]","0.453 [0.036, 0.96]"
"Eupeodes latifasciatus",302,4,87,105,"Eupeodes","Syrphinae","Predator",1742,NA,"Other",NA,"WeakSupport","WeakSupport","-0.038 [-0.286, 0.16]","0.048 [-0.211, 0.298]"
"Eupeodes luniger (vockerothi)",357,4,93,120,"Eupeodes","Syrphinae","Predator",1159,NA,"Other",NA,"WeakSupport","WeakSupport","-0.19 [-0.47, 0.087]","-0.076 [-0.409, 0.251]"
"Eupeodes perplexus",310,4,121,185,"Eupeodes","Syrphinae","Predator",1642,NA,"Other",NA,"WeakSupport","WeakSupport","0.009 [-0.24, 0.25]","0.059 [-0.162, 0.277]"
"Eupeodes pomus",110,4,63,78,"Eupeodes","Syrphinae","Predator",1212,NA,"Other",NA,"WeakSupport","WeakSupport","-0.107 [-0.465, 0.171]","-0.037 [-0.406, 0.262]"
"Eupeodes volucris",2079,4,164,317,"Eupeodes","Syrphinae","Predator",1513,NA,"Other",NA,"WeakSupport","WeakSupport","-0.167 [-0.38, 0.051]","0.132 [-0.199, 0.474]"
"Eurimyia (Lejops) lineatus",197,4,20,25,"Eurimyia","Eristalinae","Saprophagous",672,NA,"Other",NA,"WeakSupport","WeakSupport","0.47 [-0.304, 1.638]","0.818 [-0.136, 2.181]"
"Eurimyia stipata",239,4,73,120,"Eurimyia","Eristalinae","Saprophagous",845,NA,"Other",NA,"WeakSupport","WeakSupport","-0.235 [-0.515, 0.052]","0.041 [-0.359, 0.487]"
"Fazia (Allograpta) micrura",145,4,17,30,"Fazia","Syrphinae","Phytophagous",280,NA,"Other",NA,"WeakSupport","WeakSupport","0.302 [-0.273, 1.217]","0.407 [-0.145, 1.165]"
"Ferdinandea buccata (dives)",331,4,84,125,"Ferdinandea","Eristalinae","Saprophagous",1568,NA,"Other",NA,"WeakSupport","WeakSupport","0.032 [-0.302, 0.386]","0.58 [-0.047, 1.265]"
"Ferdinandea croesus",139,4,44,73,"Ferdinandea","Eristalinae","Saprophagous",1065,NA,"Other",NA,"WeakSupport","WeakSupport","-0.325 [-0.729, 0.155]","-0.144 [-0.663, 0.469]"
"Hadromyia (Caliprobola) crawfordi",240,4,49,111,"Hadromyia","Eristalinae","Unknown",189,NA,"Other",NA,"WeakSupport","WeakSupport","-0.206 [-0.576, 0.178]","-0.142 [-0.537, 0.232]"
"Hadromyia grandis",98,4,19,39,"Hadromyia","Eristalinae","Unknown",68,NA,"Other",NA,"WeakSupport","WeakSupport","-0.322 [-0.848, 0.178]","-0.258 [-0.823, 0.252]"
"Hadromyia pulchra",274,4,42,101,"Hadromyia","Eristalinae","Unknown",149,NA,"Other",NA,"WeakSupport","WeakSupport","-0.055 [-0.503, 0.422]","0.015 [-0.449, 0.494]"
"Hammerschmidtia (Brachyopa) rufa (ferruginea)",140,4,62,88,"Hammerschmidtia","Eristalinae","Saprophagous",1276,NA,"Other",NA,"WeakSupport","WeakSupport","0.014 [-0.411, 0.474]","0.372 [-0.241, 1.081]"
"Hammerschmidtia sedmani",57,4,26,31,"Hammerschmidtia","Eristalinae","Saprophagous",544,NA,"Other",NA,"WeakSupport","WeakSupport","-0.259 [-0.702, 0.133]","-0.1 [-0.642, 0.396]"
"Helophilus fasciatus",1777,4,200,414,"Helophilus","Eristalinae","Saprophagous",1586,13,"Other","no","Increase","Increase","0.731 [0.31, 1.167]","1.056 [0.524, 1.643]"
"Helophilus groenlandicus",440,4,76,96,"Helophilus","Eristalinae","Saprophagous",1636,12.3,"Other","no","Decline","Decline","-0.597 [-0.872, -0.271]","-0.649 [-0.878, -0.377]"
"Helophilus hybridus",423,4,109,178,"Helophilus","Eristalinae","Saprophagous",1065,NA,"Other",NA,"WeakSupport","WeakSupport","0.239 [-0.162, 0.692]","0.175 [-0.165, 0.536]"
"Helophilus lapponicus",987,4,132,168,"Helophilus","Eristalinae","Saprophagous",1849,NA,"Other",NA,"WeakSupport","WeakSupport","-0.166 [-0.453, 0.146]","-0.076 [-0.393, 0.269]"
"Helophilus latifrons",571,4,134,222,"Helophilus","Eristalinae","Saprophagous",1254,13.45,"Other","no","Decline","Decline","-0.623 [-0.781, -0.457]","-0.627 [-0.772, -0.471]"
"Helophilus obscurus",687,4,122,156,"Helophilus","Eristalinae","Saprophagous",1445,NA,"Other",NA,"WeakSupport","WeakSupport","0.287 [-0.246, 0.915]","-0.086 [-0.39, 0.272]"
"Heringia canadensis",68,4,28,36,"Heringia","Pipizinae","Predator",804,NA,"Other",NA,"WeakSupport","WeakSupport","-0.17 [-0.648, 0.257]","0.128 [-0.512, 0.841]"
"Heringia salax",139,4,41,59,"Heringia","Pipizinae","Predator",602,NA,"Other",NA,"WeakSupport","WeakSupport","-0.038 [-0.433, 0.344]","0.113 [-0.344, 0.568]"
"Hiatomyia cyanescens",95,4,25,44,"Hiatomyia","Eristalinae","Unknown",265,NA,"Other",NA,"WeakSupport","WeakSupport","-0.42 [-0.817, 0.068]","-0.393 [-0.779, 0.084]"
"Hypocritanus (Ocyptamus) fascipennis",441,4,102,197,"Hypocritanus","Syrphinae","Predator",1156,11.15,"Other","no","Increase","Increase","0.822 [0.241, 1.469]","1.446 [0.569, 2.425]"
"Hypocritanus (Ocyptamus) lemur",139,4,40,56,"Hypocritanus","Syrphinae","Predator",304,NA,"Other",NA,"WeakSupport","WeakSupport","0.269 [-0.155, 0.882]","0.414 [-0.043, 1.037]"
"Lapposyrphus (Eupeodes) aberrantis",70,4,25,39,"Lapposyrphus","Syrphinae","Predator",1935,NA,"Other",NA,"WeakSupport","WeakSupport","0.001 [-0.121, 0.131]","0.092 [-0.064, 0.27]"
